[1, 1, [1, 1], [1, 1]]  :  0.0028585700850716402
[1, 0, [1, 1], [1, 1]]  :  0.0020432527623964218
[0, 1, [1, 1], [1, 1]]  :  0.002043252762399415
[0, 0, [1, 1], [1, 1]]  :  0.0027821504878570162
[1, 1, [1, 1], [1, 0]]  :  0.0028585700850739014
[1, 0, [1, 1], [1, 0]]  :  0.006612132754127766
[0, 1, [1, 1], [1, 0]]  :  0.00445346110431335
[0, 0, [1, 1], [1, 0]]  :  0.006459013457109387
[1, 1, [1, 1], [0, 1]]  :  0.0028585700850744093
[1, 0, [1, 1], [0, 1]]  :  0.007530257321521501
[0, 1, [1, 1], [0, 1]]  :  0.00399667886795135
[0, 0, [1, 1], [0, 1]]  :  0.033927730493371
[1, 1, [1, 1], [0, 0]]  :  0.0028585700850744166
[1, 0, [1, 1], [0, 0]]  :  0.01539697741106023
[0, 1, [1, 1], [0, 0]]  :  0.007063644241274977
[0, 0, [1, 1], [0, 0]]  :  0.007709484190656312
[1, 1, [1, 0], [1, 1]]  :  0.036116112463294575
[1, 0, [1, 0], [1, 1]]  :  0.004453461104313379
[0, 1, [1, 0], [1, 1]]  :  0.006612132754127404
[0, 0, [1, 0], [1, 1]]  :  0.0027821504878555955
[1, 1, [1, 0], [1, 0]]  :  0.03611611246329447
[1, 0, [1, 0], [1, 0]]  :  0.013749063629556458
[0, 1, [1, 0], [1, 0]]  :  0.013749063629556458
[0, 0, [1, 0], [1, 0]]  :  0.006459013457109432
[1, 1, [1, 0], [0, 1]]  :  0.03611611246329463
[1, 0, [1, 0], [0, 1]]  :  0.010312119251188353
[0, 1, [1, 0], [0, 1]]  :  0.00907997547207582
[0, 0, [1, 0], [0, 1]]  :  0.03392773049337587
[1, 1, [1, 0], [0, 0]]  :  0.03611611246329442
[1, 0, [1, 0], [0, 0]]  :  0.02447038023975651
[0, 1, [1, 0], [0, 0]]  :  0.017505001636606524
[0, 0, [1, 0], [0, 0]]  :  0.00770948419065624
[1, 1, [0, 1], [1, 1]]  :  0.0058161292796873355
[1, 0, [0, 1], [1, 1]]  :  0.003996678867951878
[0, 1, [0, 1], [1, 1]]  :  0.007530257321521681
[0, 0, [0, 1], [1, 1]]  :  0.023956269863878228
[1, 1, [0, 1], [1, 0]]  :  0.005816129279687237
[1, 0, [0, 1], [1, 0]]  :  0.009079975472075648
[0, 1, [0, 1], [1, 0]]  :  0.010312119251188507
[0, 0, [0, 1], [1, 0]]  :  0.006459013457109282
[1, 1, [0, 1], [0, 1]]  :  0.005816129279687475
[1, 0, [0, 1], [0, 1]]  :  0.014295128651195107
[0, 1, [0, 1], [0, 1]]  :  0.014295128651195253
[0, 0, [0, 1], [0, 1]]  :  0.0339277304933771
[1, 1, [0, 1], [0, 0]]  :  0.0058161292796872705
[1, 0, [0, 1], [0, 0]]  :  0.025038898890900475
[0, 1, [0, 1], [0, 0]]  :  0.018056474273472675
[0, 0, [0, 1], [0, 0]]  :  0.024850941958474874
[1, 1, [0, 0], [1, 1]]  :  0.025064933452219294
[1, 0, [0, 0], [1, 1]]  :  0.007063644241274749
[0, 1, [0, 0], [1, 1]]  :  0.015396977411059682
[0, 0, [0, 0], [1, 1]]  :  0.023956269863878193
[1, 1, [0, 0], [1, 0]]  :  0.02506493345221948
[1, 0, [0, 0], [1, 0]]  :  0.017505001636606957
[0, 1, [0, 0], [1, 0]]  :  0.0244703802397563
[0, 0, [0, 0], [1, 0]]  :  0.00645901345710932
[1, 1, [0, 0], [0, 1]]  :  0.025064933452219378
[1, 0, [0, 0], [0, 1]]  :  0.018056474273472324
[0, 1, [0, 0], [0, 1]]  :  0.02503889889090036
[0, 0, [0, 0], [0, 1]]  :  0.03392773049337714
[1, 1, [0, 0], [0, 0]]  :  0.025064933452219957
[1, 0, [0, 0], [0, 0]]  :  0.04061272853021601
[0, 1, [0, 0], [0, 0]]  :  0.040612728530215934
[0, 0, [0, 0], [0, 0]]  :  0.02485094195847565
