[1, 1, [1, 1], [1, 1]]  :  0.0028309353429947282
[1, 0, [1, 1], [1, 1]]  :  0.002083015663050683
[0, 1, [1, 1], [1, 1]]  :  0.002083015663056182
[0, 0, [1, 1], [1, 1]]  :  0.0027500204361661424
[1, 1, [1, 1], [1, 0]]  :  0.0028309353429963376
[1, 0, [1, 1], [1, 0]]  :  0.010968844078028856
[0, 1, [1, 1], [1, 0]]  :  0.00329296335119982
[0, 0, [1, 1], [1, 0]]  :  0.0064933999203217905
[1, 1, [1, 1], [0, 1]]  :  0.002830935342995857
[1, 0, [1, 1], [0, 1]]  :  0.00882596171273265
[0, 1, [1, 1], [0, 1]]  :  0.004589954693843076
[0, 0, [1, 1], [0, 1]]  :  0.034214247783293426
[1, 1, [1, 1], [0, 0]]  :  0.0028309353429960323
[1, 0, [1, 1], [0, 0]]  :  0.016649325391762414
[0, 1, [1, 1], [0, 0]]  :  0.00695000155012124
[0, 0, [1, 1], [0, 0]]  :  0.007750565561882493
[1, 1, [1, 0], [1, 1]]  :  0.03634960779138778
[1, 0, [1, 0], [1, 1]]  :  0.005034739831658577
[0, 1, [1, 0], [1, 1]]  :  0.007898051478330836
[0, 0, [1, 0], [1, 1]]  :  0.00275002043616536
[1, 1, [1, 0], [1, 0]]  :  0.03634960779138831
[1, 0, [1, 0], [1, 0]]  :  0.013669413318286664
[0, 1, [1, 0], [1, 0]]  :  0.013670160748813729
[0, 0, [1, 0], [1, 0]]  :  0.006493399920321925
[1, 1, [1, 0], [0, 1]]  :  0.03634960779138782
[1, 0, [1, 0], [0, 1]]  :  0.010269291186719256
[0, 1, [1, 0], [0, 1]]  :  0.009022913328645224
[0, 0, [1, 0], [0, 1]]  :  0.03421424778329202
[1, 1, [1, 0], [0, 0]]  :  0.0363496077913886
[1, 0, [1, 0], [0, 0]]  :  0.015294980325939962
[0, 1, [1, 0], [0, 0]]  :  0.02383809802965796
[0, 0, [1, 0], [0, 0]]  :  0.007750565561882474
[1, 1, [0, 1], [1, 1]]  :  0.005859467832035636
[1, 0, [0, 1], [1, 1]]  :  0.002878984272957916
[0, 1, [0, 1], [1, 1]]  :  0.011812754724614355
[0, 0, [0, 1], [1, 1]]  :  0.02377801519954192
[1, 1, [0, 1], [1, 0]]  :  0.005859467832035775
[1, 0, [0, 1], [1, 0]]  :  0.009022109684397534
[0, 1, [0, 1], [1, 0]]  :  0.010270042577162585
[0, 0, [0, 1], [1, 0]]  :  0.006493399920321707
[1, 1, [0, 1], [0, 1]]  :  0.005859467832035447
[1, 0, [0, 1], [0, 1]]  :  0.01421419384925175
[0, 1, [0, 1], [0, 1]]  :  0.01421493713605541
[0, 0, [0, 1], [0, 1]]  :  0.03421424778328942
[1, 1, [0, 1], [0, 0]]  :  0.005859467832035362
[1, 0, [0, 1], [0, 0]]  :  0.02177507832596952
[0, 1, [0, 1], [0, 0]]  :  0.01549764316301611
[0, 0, [0, 1], [0, 0]]  :  0.025181347744657554
[1, 1, [0, 0], [1, 1]]  :  0.025391589953433817
[1, 0, [0, 0], [1, 1]]  :  0.0069327646391111695
[0, 1, [0, 0], [1, 1]]  :  0.016649025021118327
[0, 0, [0, 0], [1, 1]]  :  0.023778015199542594
[1, 1, [0, 0], [1, 0]]  :  0.025391589953433706
[1, 0, [0, 0], [1, 0]]  :  0.014985625841616623
[0, 1, [0, 0], [1, 0]]  :  0.021386661626029133
[0, 0, [0, 0], [1, 0]]  :  0.006493399920321741
[1, 1, [0, 0], [0, 1]]  :  0.025391589953433907
[1, 0, [0, 0], [0, 1]]  :  0.024340419292584337
[0, 1, [0, 0], [0, 1]]  :  0.015404129813384704
[0, 0, [0, 0], [0, 1]]  :  0.03421424778328847
[1, 1, [0, 0], [0, 0]]  :  0.025391589953434202
[1, 0, [0, 0], [0, 0]]  :  0.041499003651261746
[0, 1, [0, 0], [0, 0]]  :  0.04149900365126158
[0, 0, [0, 0], [0, 0]]  :  0.02518134774465773
