[1, 1, [1, 1], [1, 1]]  :  0.0028192842241895133
[1, 0, [1, 1], [1, 1]]  :  0.0020933447126005246
[0, 1, [1, 1], [1, 1]]  :  0.002093344712604825
[0, 0, [1, 1], [1, 1]]  :  0.0027373227304891383
[1, 1, [1, 1], [1, 0]]  :  0.0028192842241882327
[1, 0, [1, 1], [1, 0]]  :  0.011923249496220952
[0, 1, [1, 1], [1, 0]]  :  0.003076067980275425
[0, 0, [1, 1], [1, 0]]  :  0.006509788523441258
[1, 1, [1, 1], [0, 1]]  :  0.0028192842241881863
[1, 0, [1, 1], [0, 1]]  :  0.010356242288419387
[0, 1, [1, 1], [0, 1]]  :  0.005335516605088666
[0, 0, [1, 1], [0, 1]]  :  0.03438777590409222
[1, 1, [1, 1], [0, 0]]  :  0.00281928422418825
[1, 0, [1, 1], [0, 0]]  :  0.01729570340250489
[0, 1, [1, 1], [0, 0]]  :  0.007183687660834404
[0, 0, [1, 1], [0, 0]]  :  0.007774967143024961
[1, 1, [1, 0], [1, 1]]  :  0.0364843925011995
[1, 0, [1, 0], [1, 1]]  :  0.00576859428186325
[0, 1, [1, 0], [1, 1]]  :  0.009458974308633177
[0, 0, [1, 0], [1, 1]]  :  0.0027373227304877904
[1, 1, [1, 0], [1, 0]]  :  0.036484392501198615
[1, 0, [1, 0], [1, 0]]  :  0.013565574552195566
[0, 1, [1, 0], [1, 0]]  :  0.013568924814589427
[0, 0, [1, 0], [1, 0]]  :  0.006509788523441217
[1, 1, [1, 0], [0, 1]]  :  0.036484392501199205
[1, 0, [1, 0], [0, 1]]  :  0.01020928257590731
[0, 1, [1, 0], [0, 1]]  :  0.008962188730279737
[0, 0, [1, 0], [0, 1]]  :  0.03438777590409017
[1, 1, [1, 0], [0, 0]]  :  0.03648439250119939
[1, 0, [1, 0], [0, 0]]  :  0.013869897365294967
[0, 1, [1, 0], [0, 0]]  :  0.025979125263218217
[0, 0, [1, 0], [0, 0]]  :  0.007774967143024852
[1, 1, [0, 1], [1, 1]]  :  0.005882221307635877
[1, 0, [0, 1], [1, 1]]  :  0.002681355615941709
[0, 1, [0, 1], [1, 1]]  :  0.012704859751746796
[0, 0, [0, 1], [1, 1]]  :  0.023645043903655495
[1, 1, [0, 1], [1, 0]]  :  0.005882221307635643
[1, 0, [0, 1], [1, 0]]  :  0.008958590630045605
[0, 1, [0, 1], [1, 0]]  :  0.01021265031561745
[0, 0, [0, 1], [1, 0]]  :  0.006509788523441013
[1, 1, [0, 1], [0, 1]]  :  0.005882221307635455
[1, 0, [0, 1], [0, 1]]  :  0.014107365847626499
[0, 1, [0, 1], [0, 1]]  :  0.014110697818431656
[0, 0, [0, 1], [0, 1]]  :  0.034387775904088216
[1, 1, [0, 1], [0, 0]]  :  0.005882221307635552
[1, 0, [0, 1], [0, 0]]  :  0.017884000718448863
[0, 1, [0, 1], [0, 0]]  :  0.013582237247644381
[0, 0, [0, 1], [0, 0]]  :  0.025378578231125857
[1, 1, [0, 0], [1, 1]]  :  0.02559423754149992
[1, 0, [0, 0], [1, 1]]  :  0.007145056116386008
[0, 1, [0, 0], [1, 1]]  :  0.0173020332355937
[0, 0, [0, 0], [1, 1]]  :  0.02364504390365568
[1, 1, [0, 0], [1, 0]]  :  0.025594237541500014
[1, 0, [0, 0], [1, 0]]  :  0.013148026318693587
[0, 1, [0, 0], [1, 0]]  :  0.01768617204701026
[0, 0, [0, 0], [1, 0]]  :  0.006509788523441081
[1, 1, [0, 0], [0, 1]]  :  0.02559423754150017
[1, 0, [0, 0], [0, 1]]  :  0.026407371147132666
[0, 1, [0, 0], [0, 1]]  :  0.013934870134559905
[0, 0, [0, 0], [0, 1]]  :  0.03438777590408631
[1, 1, [0, 0], [0, 0]]  :  0.025594237541500153
[1, 0, [0, 0], [0, 0]]  :  0.04180618513989221
[0, 1, [0, 0], [0, 0]]  :  0.041806185139892725
[0, 0, [0, 0], [0, 0]]  :  0.025378578231126298
