[1, 1, [1, 1], [1, 1]]  :  0.008891729160214395
[1, 0, [1, 1], [1, 1]]  :  0.011800724127850425
[0, 1, [1, 1], [1, 1]]  :  0.011800724127854392
[0, 0, [1, 1], [1, 1]]  :  0.008787633673721524
[1, 1, [1, 1], [1, 0]]  :  0.008891729160212872
[1, 0, [1, 1], [1, 0]]  :  0.007300099963338851
[0, 1, [1, 1], [1, 0]]  :  0.006792545513575538
[0, 0, [1, 1], [1, 0]]  :  0.005383340222506308
[1, 1, [1, 1], [0, 1]]  :  0.008891729160212459
[1, 0, [1, 1], [0, 1]]  :  0.007332455089705965
[0, 1, [1, 1], [0, 1]]  :  0.0070014776049993135
[0, 0, [1, 1], [0, 1]]  :  0.0621220146127416
[1, 1, [1, 1], [0, 0]]  :  0.008891729160212455
[1, 0, [1, 1], [0, 0]]  :  0.005933363183053608
[0, 1, [1, 1], [0, 0]]  :  0.0055543307261200344
[0, 0, [1, 1], [0, 0]]  :  0.006708287616705538
[1, 1, [1, 0], [1, 1]]  :  0.06604123469153834
[1, 0, [1, 0], [1, 1]]  :  0.0067925455135755585
[0, 1, [1, 0], [1, 1]]  :  0.007300099963338945
[0, 0, [1, 0], [1, 1]]  :  0.008787633673721654
[1, 1, [1, 0], [1, 0]]  :  0.06604123469153834
[1, 0, [1, 0], [1, 0]]  :  0.007313334507026029
[0, 1, [1, 0], [1, 0]]  :  0.007313334507026029
[0, 0, [1, 0], [1, 0]]  :  0.005383340222506221
[1, 1, [1, 0], [0, 1]]  :  0.06604123469153923
[1, 0, [1, 0], [0, 1]]  :  0.005540605714032315
[0, 1, [1, 0], [0, 1]]  :  0.005414860079022052
[0, 0, [1, 0], [0, 1]]  :  0.06212201461273797
[1, 1, [1, 0], [0, 0]]  :  0.06604123469153984
[1, 0, [1, 0], [0, 0]]  :  0.0073124329374817275
[0, 1, [1, 0], [0, 0]]  :  0.006887399013948693
[0, 0, [1, 0], [0, 0]]  :  0.006708287616705128
[1, 1, [0, 1], [1, 1]]  :  0.005227009465422266
[1, 0, [0, 1], [1, 1]]  :  0.007001477604998344
[0, 1, [0, 1], [1, 1]]  :  0.007332455089706
[0, 0, [0, 1], [1, 1]]  :  0.027423567202334315
[1, 1, [0, 1], [1, 0]]  :  0.005227009465422269
[1, 0, [0, 1], [1, 0]]  :  0.005414860079022186
[0, 1, [0, 1], [1, 0]]  :  0.005540605714032442
[0, 0, [0, 1], [1, 0]]  :  0.005383340222506218
[1, 1, [0, 1], [0, 1]]  :  0.005227009465422124
[1, 0, [0, 1], [0, 1]]  :  0.007471159197908374
[0, 1, [0, 1], [0, 1]]  :  0.007471159197909148
[0, 0, [0, 1], [0, 1]]  :  0.06212201461273849
[1, 1, [0, 1], [0, 0]]  :  0.005227009465422162
[1, 0, [0, 1], [0, 0]]  :  0.007284656858392777
[0, 1, [0, 1], [0, 0]]  :  0.006977579390335465
[0, 0, [0, 1], [0, 0]]  :  0.014160906585359952
[1, 1, [0, 0], [1, 1]]  :  0.014433172180761287
[1, 0, [0, 0], [1, 1]]  :  0.005554330726121399
[0, 1, [0, 0], [1, 1]]  :  0.005933363183053645
[0, 0, [0, 0], [1, 1]]  :  0.027423567202334596
[1, 1, [0, 0], [1, 0]]  :  0.014433172180761287
[1, 0, [0, 0], [1, 0]]  :  0.006887399013948413
[0, 1, [0, 0], [1, 0]]  :  0.0073124329374816
[0, 0, [0, 0], [1, 0]]  :  0.005383340222506158
[1, 1, [0, 0], [0, 1]]  :  0.014433172180761216
[1, 0, [0, 0], [0, 1]]  :  0.00697757939033531
[0, 1, [0, 0], [0, 1]]  :  0.007284656858392491
[0, 0, [0, 0], [0, 1]]  :  0.062122014612737794
[1, 1, [0, 0], [0, 0]]  :  0.014433172180761445
[1, 0, [0, 0], [0, 0]]  :  0.012805580348723518
[0, 1, [0, 0], [0, 0]]  :  0.012805580348723668
[0, 0, [0, 0], [0, 0]]  :  0.014160906585360337
