[1, 1, [1, 1], [1, 1]]  :  0.008383928845791436
[1, 0, [1, 1], [1, 1]]  :  0.010872722206927782
[0, 1, [1, 1], [1, 1]]  :  0.010872722206914587
[0, 0, [1, 1], [1, 1]]  :  0.00827111672447703
[1, 1, [1, 1], [1, 0]]  :  0.008383928845790933
[1, 0, [1, 1], [1, 0]]  :  0.0254512627072811
[0, 1, [1, 1], [1, 0]]  :  0.0032044270884293287
[0, 0, [1, 1], [1, 0]]  :  0.004803330991953131
[1, 1, [1, 1], [0, 1]]  :  0.008383928845790698
[1, 0, [1, 1], [0, 1]]  :  0.018402236103494826
[0, 1, [1, 1], [0, 1]]  :  0.017509242147535263
[0, 0, [1, 1], [0, 1]]  :  0.05606717299675005
[1, 1, [1, 1], [0, 0]]  :  0.008383928845790764
[1, 0, [1, 1], [0, 0]]  :  0.005454497135379285
[0, 1, [1, 1], [0, 0]]  :  0.0058960230785263705
[0, 0, [1, 1], [0, 0]]  :  0.0059714780960584204
[1, 1, [1, 0], [1, 1]]  :  0.060598129607916995
[1, 0, [1, 0], [1, 1]]  :  0.01668958160841522
[0, 1, [1, 0], [1, 1]]  :  0.020267227688472896
[0, 0, [1, 0], [1, 1]]  :  0.00827111672448179
[1, 1, [1, 0], [1, 0]]  :  0.060598129607917016
[1, 0, [1, 0], [1, 0]]  :  0.006466480705346335
[0, 1, [1, 0], [1, 0]]  :  0.006456180810219343
[0, 0, [1, 0], [1, 0]]  :  0.0048033309919532285
[1, 1, [1, 0], [0, 1]]  :  0.06059812960791566
[1, 0, [1, 0], [0, 1]]  :  0.004962971370905866
[0, 1, [1, 0], [0, 1]]  :  0.004891225342529867
[0, 0, [1, 0], [0, 1]]  :  0.05606717299674959
[1, 1, [1, 0], [0, 0]]  :  0.060598129607917134
[1, 0, [1, 0], [0, 0]]  :  0.005943136801480884
[0, 1, [1, 0], [0, 0]]  :  0.009680905041663568
[0, 0, [1, 0], [0, 0]]  :  0.005971478096058989
[1, 1, [0, 1], [1, 1]]  :  0.004619810072933623
[1, 0, [0, 1], [1, 1]]  :  0.0032722267336745253
[0, 1, [0, 1], [1, 1]]  :  0.022628528194554198
[0, 0, [0, 1], [1, 1]]  :  0.029761723227116323
[1, 1, [0, 1], [1, 0]]  :  0.004619810072933653
[1, 0, [0, 1], [1, 0]]  :  0.00490152347234964
[0, 1, [0, 1], [1, 0]]  :  0.004953052789534476
[0, 0, [0, 1], [1, 0]]  :  0.00480333099195326
[1, 1, [0, 1], [0, 1]]  :  0.004619810072933326
[1, 0, [0, 1], [0, 1]]  :  0.006639827064794846
[0, 1, [0, 1], [0, 1]]  :  0.006629717427748296
[0, 0, [0, 1], [0, 1]]  :  0.05606717299674959
[1, 1, [0, 1], [0, 0]]  :  0.00461981007293368
[1, 0, [0, 1], [0, 0]]  :  0.006035843280738102
[0, 1, [0, 1], [0, 0]]  :  0.006144241552857273
[0, 0, [0, 1], [0, 0]]  :  0.012744248860569268
[1, 1, [0, 0], [1, 1]]  :  0.013122934005255958
[1, 0, [0, 0], [1, 1]]  :  0.00596543401085847
[0, 1, [0, 0], [1, 1]]  :  0.005454362338977701
[0, 0, [0, 0], [1, 1]]  :  0.029761723227118498
[1, 1, [0, 0], [1, 0]]  :  0.013122934005256175
[1, 0, [0, 0], [1, 0]]  :  0.006116170444495844
[0, 1, [0, 0], [1, 0]]  :  0.006032831980019663
[0, 0, [0, 0], [1, 0]]  :  0.004803330991953662
[1, 1, [0, 0], [0, 1]]  :  0.013122934005256175
[1, 0, [0, 0], [0, 1]]  :  0.00976004612922269
[0, 1, [0, 0], [0, 1]]  :  0.005895640879779409
[0, 0, [0, 0], [0, 1]]  :  0.05606717299675093
[1, 1, [0, 0], [0, 0]]  :  0.01312293400525617
[1, 0, [0, 0], [0, 0]]  :  0.01133567587900969
[0, 1, [0, 0], [0, 0]]  :  0.011335675879009608
[0, 0, [0, 0], [0, 0]]  :  0.012744248860569758
